VehicleJourneyCode,LineRef,ServiceRef,JourneyPatternRef,DepartureTime,OperatorRef,TicketMachineJourneyCode,Date,Day_of_Week,Hour_of_Day,Actual_Delay_Minutes,Live_Traffic_Index,LineName,Route_Type
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-03,Wednesday,11,3,1.1,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-03,Wednesday,12,4,0.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-04,Thursday,9,6,0.1,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-04,Thursday,11,5,0.2,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-04,Thursday,10,9,1.9,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-04,Thursday,10,8,1.4,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-04,Thursday,11,6,0.6,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-04,Thursday,12,4,1.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-05,Friday,9,9,1.7,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-05,Friday,11,8,1.9,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-05,Friday,10,7,2.1,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-05,Friday,10,1,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-05,Friday,11,5,1.7,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-05,Friday,12,5,1.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-06,Saturday,9,8,1.6,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-06,Saturday,11,4,0.1,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-06,Saturday,10,0,0.5,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-06,Saturday,10,0,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-06,Saturday,11,4,0.7,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-06,Saturday,12,3,0.1,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-07,Sunday,9,5,1.4,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-07,Sunday,11,1,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-07,Sunday,10,1,0.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-07,Sunday,10,0,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-07,Sunday,11,1,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-07,Sunday,12,3,0.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-08,Monday,9,18,3.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-08,Monday,11,0,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-08,Monday,10,11,2.7,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-08,Monday,10,7,1.5,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-08,Monday,11,8,1.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-08,Monday,12,6,0.3,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-09,Tuesday,9,11,2.6,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-09,Tuesday,11,6,1.6,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-09,Tuesday,10,6,0.6,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-09,Tuesday,10,10,1.2,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-09,Tuesday,11,4,1.6,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-09,Tuesday,12,1,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-10,Wednesday,9,14,2.5,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-10,Wednesday,11,10,1.4,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-10,Wednesday,10,3,0.0,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-10,Wednesday,10,3,0.8,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-10,Wednesday,11,7,1.2,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-10,Wednesday,12,2,0.1,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-11,Thursday,9,9,2.3,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-11,Thursday,11,5,1.6,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-11,Thursday,10,5,0.0,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-11,Thursday,10,3,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-11,Thursday,11,5,0.5,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-11,Thursday,12,8,1.8,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-12,Friday,9,19,2.5,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-12,Friday,11,4,0.6,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-12,Friday,10,5,1.7,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-12,Friday,10,0,0.7,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-12,Friday,11,4,1.4,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-12,Friday,12,1,0.8,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-13,Saturday,9,8,1.7,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-13,Saturday,11,1,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-13,Saturday,10,0,0.3,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-13,Saturday,10,2,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-13,Saturday,11,2,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-13,Saturday,12,1,1.1,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-14,Sunday,9,7,0.3,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-14,Sunday,11,3,1.2,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-14,Sunday,10,1,0.9,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-14,Sunday,10,1,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-14,Sunday,11,0,0.4,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-14,Sunday,12,4,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-15,Monday,9,11,1.3,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-15,Monday,11,6,0.5,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-15,Monday,10,10,1.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-15,Monday,10,3,0.4,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-15,Monday,11,5,0.1,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-15,Monday,12,1,0.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-16,Tuesday,9,14,2.8,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-16,Tuesday,11,2,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-16,Tuesday,10,5,0.5,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-16,Tuesday,10,3,0.4,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-16,Tuesday,11,8,2.3,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-16,Tuesday,12,2,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-17,Wednesday,9,21,3.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-17,Wednesday,11,6,1.3,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-17,Wednesday,10,3,1.1,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-17,Wednesday,10,8,0.7,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-17,Wednesday,11,4,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-17,Wednesday,12,4,0.2,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-18,Thursday,9,17,1.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-18,Thursday,11,3,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-18,Thursday,10,5,1.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-18,Thursday,10,7,0.5,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-18,Thursday,11,2,0.4,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-18,Thursday,12,6,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-19,Friday,9,14,2.8,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-19,Friday,11,4,1.4,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-19,Friday,10,4,1.2,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-19,Friday,10,1,0.9,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-19,Friday,11,10,1.6,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-19,Friday,12,5,0.8,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-20,Saturday,9,6,1.7,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-20,Saturday,11,2,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-20,Saturday,10,2,0.0,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-20,Saturday,10,2,1.1,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-20,Saturday,11,0,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-20,Saturday,12,3,0.8,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-21,Sunday,9,4,0.6,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-21,Sunday,11,3,0.6,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-21,Sunday,10,5,1.5,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-21,Sunday,10,0,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-21,Sunday,11,2,0.8,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-21,Sunday,12,4,0.8,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-22,Monday,9,12,3.0,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-22,Monday,11,8,2.1,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-22,Monday,10,7,0.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-22,Monday,10,5,1.2,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-22,Monday,11,4,1.5,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-22,Monday,12,2,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-23,Tuesday,9,14,1.8,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-23,Tuesday,11,5,1.1,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-23,Tuesday,10,5,1.7,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-23,Tuesday,10,5,0.5,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-23,Tuesday,11,0,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-23,Tuesday,12,3,1.4,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-24,Wednesday,9,14,2.0,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-24,Wednesday,11,4,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-24,Wednesday,10,0,0.5,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-24,Wednesday,10,2,0.2,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-24,Wednesday,11,5,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-24,Wednesday,12,5,0.9,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-25,Thursday,9,12,2.8,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-25,Thursday,11,5,1.2,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-25,Thursday,10,5,1.3,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-25,Thursday,10,6,1.8,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-25,Thursday,11,4,0.5,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-25,Thursday,12,4,0.2,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-26,Friday,9,18,2.4,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-26,Friday,11,2,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-26,Friday,10,7,0.4,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-26,Friday,10,4,0.4,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-26,Friday,11,7,2.1,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-26,Friday,12,11,2.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-27,Saturday,9,11,1.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-27,Saturday,11,2,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-27,Saturday,10,3,0.9,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-27,Saturday,10,1,0.0,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-27,Saturday,11,3,1.3,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-27,Saturday,12,0,0.6,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-28,Sunday,9,8,1.0,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-28,Sunday,11,1,0.0,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-28,Sunday,10,1,0.9,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-28,Sunday,10,3,0.5,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-28,Sunday,11,4,1.2,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-28,Sunday,12,0,0.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-29,Monday,9,12,2.1,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-29,Monday,11,8,2.2,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-29,Monday,10,6,0.8,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-29,Monday,10,4,0.1,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-29,Monday,11,2,0.0,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-29,Monday,12,6,1.4,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-30,Tuesday,9,18,2.9,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-30,Tuesday,11,8,1.4,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-30,Tuesday,10,0,0.6,597,City Service
vj_4,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:35:00,tkt_oid,1035,2024-01-30,Tuesday,10,2,0.9,597,City Service
vj_5,LCAC:PC0003576:7:597,PC0003576:7,jp_2,11:35:00,tkt_oid,1135,2024-01-30,Tuesday,11,6,1.7,597,City Service
vj_6,LCAC:PC0003576:7:597,PC0003576:7,jp_3,12:05:00,tkt_oid,1205,2024-01-30,Tuesday,12,7,2.0,597,City Service
vj_1,LCAC:PC0003576:7:597,PC0003576:7,jp_1,09:35:00,tkt_oid,935,2024-01-31,Wednesday,9,15,1.8,597,City Service
vj_2,LCAC:PC0003576:7:597,PC0003576:7,jp_1,11:05:00,tkt_oid,1105,2024-01-31,Wednesday,11,6,1.7,597,City Service
vj_3,LCAC:PC0003576:7:597,PC0003576:7,jp_2,10:05:00,tkt_oid,1005,2024-01-31,Wednesday,10,11,1.5,597,City Service
